x,y,price
37.3081,49.5835,30000000
37.3079,49.5922,25000000
37.3059,49.5873,35000000
37.30557,49.59367,15000000
37.30182,49.58883,30000000
37.3047,49.59421,12000000
37.29846,49.58359,5000000
37.2988,49.59524,10000000
37.30129,49.60495,15000000
37.28314,49.60396,8000000
37.27781,49.58012,15000000
37.2674,49.5827,29000000
37.2853,49.5816,24000000
37.2951,49.5754,9000000
37.26221,49.59569,37000000
37.2426,49.5931,9000000
37.2589,49.6054,11000000
30.410188,55.996264,5000000
30.401363,56.008551,7000000
30.401241,55.989427,7000000
30.398478,55.992394,6000000
30.387848,56.004204,5500000
30.405969,55.981346,6000000
30.402577,55.974818,4000000
30.398045,55.968849,3500000
30.385586,55.983764,4500000
31.876131,54.309136,3000000
31.851603,54.330118,7500000
31.837855,54.373444,20000000
31.873321,54.345942,18000000
31.859499,54.401721,5000000
31.922585,54.321813,30000000
31.867213,54.363161,12000000
31.919735,54.349501,3000000
31.90127,54.383401,5000000
